User Email;Transaction Amount;Currency;Note to Recipient;Transaction Type
dummy0@email.com;42,5;EUR;dummy_note_0;Paypal
dummy1@email.com;736;EUR;dummy_note_1;Paypal
dummy2@email.com;50;EUR;dummy_note_2;Paypal
dummy3@email.com;1450;EUR;dummy_note_3;Paypal
dummy4@email.com;276,47;EUR;dummy_note_4;Paypal
dummy5@email.com;65,75;EUR;dummy_note_5;Paypal
dummy6@email.com;200;EUR;dummy_note_6;Paypal
dummy7@email.com;90;EUR;dummy_note_7;Paypal
dummy8@email.com;40;EUR;dummy_note_8;Paypal
dummy9@email.com;145;EUR;dummy_note_9;Paypal
dummy10@email.com;500;EUR;dummy_note_10;Paypal
dummy11@email.com;50;EUR;dummy_note_11;Paypal
dummy12@email.com;400;EUR;dummy_note_12;Paypal
dummy13@email.com;50;EUR;dummy_note_13;Paypal
dummy14@email.com;70;EUR;dummy_note_14;Paypal
dummy15@email.com;413,44;EUR;dummy_note_15;Paypal
dummy16@email.com;75,23;EUR;dummy_note_16;Paypal
dummy17@email.com;800;EUR;dummy_note_17;Paypal
dummy18@email.com;236;EUR;dummy_note_18;Paypal
dummy19@email.com;100;EUR;dummy_note_19;Paypal
dummy20@email.com;185,35;EUR;dummy_note_20;Paypal
dummy21@email.com;62,7;EUR;dummy_note_21;Paypal
dummy22@email.com;77,76;EUR;dummy_note_22;Paypal
dummy23@email.com;100;EUR;dummy_note_23;Paypal
dummy24@email.com;159;EUR;dummy_note_24;Paypal
dummy25@email.com;880;EUR;dummy_note_25;Paypal
dummy26@email.com;100;EUR;dummy_note_26;Paypal
dummy27@email.com;40;EUR;dummy_note_27;Paypal
dummy28@email.com;300;EUR;dummy_note_28;Paypal
dummy29@email.com;1000;EUR;dummy_note_29;Paypal
dummy30@email.com;300;EUR;dummy_note_30;Paypal
dummy31@email.com;165;EUR;dummy_note_31;Paypal
dummy32@email.com;190;EUR;dummy_note_32;Paypal
dummy33@email.com;1100;EUR;dummy_note_33;Paypal
dummy34@email.com;350;EUR;dummy_note_34;Paypal
dummy35@email.com;200;EUR;dummy_note_35;Paypal
dummy36@email.com;291,55;EUR;dummy_note_36;Paypal
dummy37@email.com;142;EUR;dummy_note_37;Paypal
dummy38@email.com;500;EUR;dummy_note_38;Paypal
dummy39@email.com;225;EUR;dummy_note_39;Paypal
dummy40@email.com;640;EUR;dummy_note_40;Paypal
dummy41@email.com;600;EUR;dummy_note_41;Paypal
dummy42@email.com;10;EUR;dummy_note_42;Paypal
dummy43@email.com;100;EUR;dummy_note_43;Paypal
dummy44@email.com;412;EUR;dummy_note_44;Paypal
dummy45@email.com;100;EUR;dummy_note_45;Paypal
dummy46@email.com;200;EUR;dummy_note_46;Paypal
dummy47@email.com;380;EUR;dummy_note_47;Paypal
dummy48@email.com;24;EUR;dummy_note_48;Paypal
dummy49@email.com;200;EUR;dummy_note_49;Paypal
